video t (ms),A002C001_140325E3,20140325_121238,Take5_Nexus5,20140325_121245,20140325_131253,IMG_0367,VID_20140325_131247,VID_20140325_131249
562.22125,0,0.4,0,1,1,1,0.8,0
562.721168,0,0.6,0,1,1,1,0.8,0
563.221745,0,0.6,0,1,1,1,0.8,0
563.7217,0,0.6,0,1,1,1,0.8,0
564.220811,0,0.6,0,1,1,1,0.8,0
564.72055,0,0.6,0,1,1,1,0.8,0
565.222355,0,0.6,0,1,1,1,0.8,0
565.721586,0,0.6,0,1,1,1,0.8,0
566.220096,0,0.6,0,1,1,1,0.8,0
566.720511,0,0.6,0,1,1,1,0.8,0
567.220478,0,0.6,0.4,1,1,1,0.8,0
567.720428,0,0.6,0.4,1,1,0.4,0.8,0
568.220192,0,0.6,0.4,1,1,0.4,0.8,0
568.721235,0,0.6,0.4,1,1,0.4,0.8,0
569.220284,0,0.6,0.4,0.6,1,0.4,0.8,0
569.720186,0,0.6,0.4,0.6,1,0.4,0.8,0
570.220481,0,0.6,0.2,0.6,1,0.4,0.8,0
570.720116,0,0.6,0.2,0.6,1,0.4,0.8,0
571.22011,0,0.6,0.2,0.2,1,0.4,0.6,0
571.721536,0,0.6,0.2,0.2,1,0.4,0.6,0
572.220096,0,0.6,0.2,0.2,1,0.4,0.6,0
572.721995,0,1,0.2,0.2,1,0.4,0.6,0
573.220507,0,1,0.2,0.2,1,0.4,0.6,0
573.72146,0,1,0.2,0.2,1,0.4,0.6,0
574.220559,0,1,0,0.2,1,0.4,0.6,0
574.720525,0,1,0,0.2,1,0.4,0.6,0
575.220606,0,1,0,0.2,1,0.4,0.6,0
575.721933,0,1,0,0.2,1,0.4,0.6,0
576.221749,0,1,0,0.2,1,0.4,0.6,0
576.720163,0,1,0,0.2,1,0.4,0.6,0
577.220399,0,1,0,0.6,1,0.4,0.6,0
577.720148,0,0.4,0,0.6,1,0.4,0.6,0
578.22074,0,0.4,0.2,0.6,1,0.4,0.6,0
578.723136,0,0.4,0.2,0.6,1,0.4,0.6,0
579.220728,0,0.4,0.2,0.6,1,0.4,0.6,0
579.721389,0,0.4,0.2,0.6,1,0.4,0.6,0
580.220189,0,0.4,0.2,0.6,1,0.4,0.8,0
580.72192,0,0.4,0.2,0.6,1,0.6,0.8,0
581.220529,0,0.4,0.2,0.6,1,0.6,0.8,0
581.720163,0,0.2,0.2,0.6,1,0.6,0.8,0
582.221022,0,0.2,0.2,0.6,1,0.6,0.8,0
582.720581,0,0.2,0.2,0.6,1,0.6,0.8,0
583.221141,0,0.2,0.2,0.6,1,0.6,0.8,0
583.721285,0,0.2,0.2,0.6,1,0.6,0.8,0
584.220613,0,0.2,0.4,0.6,1,0.6,0.8,0
584.721136,0,0.2,0.4,0.6,1,0.2,0.8,0
585.2209,0,0.2,0.4,0.6,1,0.2,0.8,0
585.720598,0,0.2,0.4,0.6,1,0.2,0.8,0
586.220459,0,0.2,0.4,0.2,1,0.2,0.8,0
586.720214,0,0.2,0.4,0.2,1,0.2,0.8,0
587.220172,0,0.2,0.4,0.2,1,0.2,0.8,0
587.721476,0,0.2,0.4,0.2,1,0.2,0.8,0
588.221487,0,0.2,0.4,1,1,0.2,0.8,0
588.721405,0,0.2,0.4,1,1,0.2,0.8,0
589.220981,0,0.2,0.4,1,1,0.2,0.8,0
589.720641,0,0.2,0.4,1,1,0.2,0.8,0
590.221265,0,0.2,0.2,1,1,0.2,0.8,0
590.720785,0,0.2,0.2,1,1,0.2,0.8,0
591.222711,0,0.2,0.2,1,1,0.2,0.8,0
591.721919,0,0.2,0.2,1,1,0.2,0.8,0
592.221571,0,0.2,0.2,1,1,0.2,0.8,0
592.720057,0,0.2,0.2,1,1,0,0.8,0
593.22151,0,0.2,0.2,1,1,0,0.8,0
593.72134,0,0.2,0.2,1,1,0,0.8,0
594.221726,0,0.2,0,1,1,0,0.4,0
594.720505,0,0.2,0,1,1,0,0.4,0
595.221261,0,0.2,0,1,1,0,0.4,0
595.720312,0,0.2,0,1,1,0,0.4,0
596.220296,0,0.2,0,1,1,0,0.4,0
596.722122,0,0.2,0,1,1,0,0.4,0
597.220193,0,0.2,0,1,1,0,0.4,0
597.721976,0,0.2,0,1,1,0,0.4,0
598.220537,0,0.2,0,1,1,0,0.4,0
598.720953,0,0.2,0,1,1,0,0.4,0
599.220287,0,0.2,0,1,1,0,0.4,0
599.720863,0,0.2,0,1,1,0.4,0.4,0
600.221044,0,0.2,0.2,1,1,0.4,0.4,0
600.721577,0,0.2,0.2,1,1,0.4,0.4,0
601.221974,0,0.2,0.2,0.4,1,0.4,0.4,0
601.719929,0,0.2,0.2,0.4,1,0.4,0.4,0
602.220488,0,0.2,0.2,0.4,1,0.4,0.4,0
602.721952,0,0.2,0.2,0.4,1,0.6,0.4,0
603.220989,0,0.2,0.2,0.4,1,0.6,0.4,0
603.721586,0,0.2,0.2,0.4,1,1,0.4,0
604.221716,0,0.2,0.2,0.4,1,1,0.4,0
604.720571,0,0.2,0.2,0.4,1,1,0.4,0
605.221974,0,0.2,0.2,1,1,1,0.4,0
605.72148,0,0.2,0.2,1,1,1,0.4,0
606.221296,0,0.2,0.2,1,1,1,0.4,0
606.721735,0,0.2,0.2,1,1,1,0.4,0
607.221257,0,0.2,0.2,1,1,1,0.4,0
607.721569,0,0.4,0.2,1,1,1,0.4,0
608.22033,0,0.4,0.2,1,1,1,0.4,0
608.720481,0,0.4,0.2,1,1,1,0.4,0
609.221019,0,0.4,0.2,1,1,1,0.4,0
609.721979,0,0.4,0.2,1,1,1,0.4,0
610.220266,0,0.4,0.6,1,1,1,0.4,0
610.720527,0,0.4,0.6,1,1,1,0.4,0
611.220551,0,0.4,0.6,1,1,1,0.4,0
611.721667,0,0.4,0.6,1,1,1,0.4,0
612.220286,0,0.4,0.8,1,1,1,0.4,0
612.721079,0,0.4,0.8,1,1,1,0.4,0
613.220741,0,0.4,0.8,1,1,1,0.4,0
613.720999,0,0.4,0.8,1,1,1,0.4,0
614.220983,0,0.4,0.8,1,1,1,0.4,0
614.721045,0,0.4,0.8,1,1,1,0.4,0
615.221609,0,0.4,0.8,1,1,1,0.4,0
615.720696,0,0.4,0.8,1,1,1,0.4,0
616.220545,0,0.4,0.8,1,1,1,1,0
616.720856,0,0.4,0.8,1,1,0.6,1,0
617.222222,0,0.4,0.8,1,1,0.6,1,0
617.720768,0,0.8,0.8,1,1,0.6,1,0
618.221412,0,0.8,0,1,1,0.6,1,0
618.720181,0,0.8,0,1,1,1,1,0
619.221157,0,0.8,0,1,1,1,1,0
619.720231,0,0.8,0,1,1,1,1,0
620.221136,0,0.8,0,1,1,1,1,0
620.721102,0,0.8,0,1,1,1,1,0
621.221328,0,0.8,0,1,1,1,1,0
621.721485,0,0.8,0,1,1,1,1,0
622.220662,0,0.8,0,1,1,1,1,0
622.720049,0,0.8,0,1,1,0.6,1,0
623.221034,0,0.8,0,1,1,0.6,1,0
623.720929,0,0.8,0,1,1,0.6,1,0
624.220246,0,0.8,0,0,1,0.6,1,0
624.720506,0,0.8,0,0,1,0.6,1,0
625.221288,0,0.8,0,0,1,0.6,1,0
625.720217,0,0.8,0,0,1,0.6,1,0
626.220093,0,0.8,0,0,1,0.6,1,0
626.720317,0,0.8,0,0,1,0.6,1,0
627.221301,0,0.8,0,0,1,0.6,1,0
627.720888,0,0.8,0,0,1,1,1,0
628.221117,0,0.8,0,0,1,1,1,0
628.720262,0,0.8,0,0,1,1,1,0
629.220814,0,0.8,0,0.6,1,1,1,0
629.720613,0,0.8,0,0.6,1,1,1,0
630.221233,0,0.8,0,0.6,1,1,1,0
630.72151,0,0.8,0,0.6,1,1,1,0
631.221433,0,0.8,0,0.6,1,1,1,0
631.720772,0,0.8,0,0.6,1,1,1,0
632.220737,0,0.8,0,0.6,1,1,1,0
632.721253,0,0.8,0,0.6,1,1,1,0
633.221111,0,0.8,0,0.6,1,1,1,0
633.721289,0,0.8,0,0.6,1,0.2,1,0
634.220736,0,0.8,0,1,1,0.2,1,0
634.72103,0,0.8,0,1,1,0.8,1,0
635.221057,0,0.8,0,1,1,0.8,1,0
635.721336,0,0.8,0,1,1,0.8,1,0
636.220988,0,0.8,0,1,1,0.8,1,0
636.720181,0,0.8,0,1,1,0.8,1,0
637.221413,0,0.8,0,1,1,0.8,1,0
637.72106,0,0.4,0,1,1,0.8,1,0
638.220608,0,0.4,0,1,1,0.8,1,0
638.720015,0,0.4,0,1,1,0.8,1,0
639.220762,0,0.4,0,1,1,0.8,1,0
639.720661,0,0.4,0,1,1,0.8,1,0
640.221127,0,0.4,0,1,1,0.8,1,0
640.720518,0,0.4,0,1,1,0.8,1,0
641.220735,0,0.4,0,0.4,1,0.8,1,0
641.722562,0,0.4,0,0.4,1,1,1,0
642.222049,0,0.4,0,0.4,1,1,1,0
642.72053,0,0.4,0,0.4,1,1,1,0
643.220594,0,0.4,0,0,1,1,0.4,0
643.720549,0,0.4,0,0,1,1,0.4,0
644.220651,0,0.4,0,0,1,1,0.4,0
644.720639,0,0.4,0,0,1,1,0.4,0
645.2211,0,0.4,0,0,1,1,0.4,0
645.383884,0,0.4,0,0,1,1,0.4,0
645.765744,0,0.4,0,0,1,1,0.4,0
646.075044,0,0.4,0,0,1,1,0.2,0
646.574902,0,0.4,0.6,0,1,1,0.2,0
647.073382,0,0.4,0.6,0,1,1,0.2,0
647.573415,0,0.4,0.6,0,1,1,0.2,0
648.073469,0,0.4,0.6,0,1,1,0.2,0
648.574856,0,0.4,0.6,0,1,1,0.2,0
649.073949,0,0.4,0.6,0,1,1,0.2,0
649.573887,0,0.4,0.6,0,1,1,0.2,0
650.074341,0,0.4,0.6,0.4,1,1,0.2,0
650.573448,0,0.4,0.6,0.4,1,1,0.2,0
651.0739,0,0.4,0.6,0.4,1,1,0.2,0
651.574409,0,0.4,0.6,0.4,1,1,0.2,0
652.074779,0,0.4,0.6,0.8,1,1,0.2,0
652.574193,0,0.4,0.6,0.8,1,1,0.2,0
653.07378,0,0.4,0.6,0.8,1,1,0.2,0
653.574665,0,0.4,0,0.8,1,1,0.2,0
654.001833,0,0.4,0,0.8,1,1,0.6,0
654.346816,0,0.4,0,1,1,1,0.6,0
654.725933,0,0.4,0,1,1,0.2,0.6,0
655.226482,0,0.4,0,1,1,0.2,0.6,0
655.726915,0,0.4,0,1,1,0.2,0.6,0
656.226658,0,0.4,0,1,1,0.2,0.6,0
656.725946,0,0.4,0,1,1,0.2,0.6,0
657.225513,0,0.4,0,1,1,0.2,0.6,0
657.726228,0,0.2,0,1,1,0.2,0.6,0
658.226636,0,0.2,0,1,1,0.2,0.6,0
658.726069,0,0.2,0,1,1,0.2,0.6,0
659.226518,0,0.2,0,1,1,0.2,0.6,0
659.72584,0,0.2,0.4,1,1,0.2,0.6,0
660.22587,0,0.2,0.4,1,1,0.2,0.6,0
660.72729,0,0.2,0.4,1,1,0.2,0.6,0
661.226243,0,0.2,0.4,1,1,0.2,0.8,0
661.726272,0,0.2,0.4,1,1,0.2,0.8,0
662.226718,0,0.2,0.4,1,1,0.2,0.8,0
662.728283,0,0.2,0.4,0.4,1,0.2,0.8,0
