video t (ms),A002C001_140325E3,20140325_121238,Take5_Nexus5,20140325_121245,20140325_131253,IMG_0367,VID_20140325_131247,VID_20140325_131249
579.721389,1,1,1,1,1,1,1,1
580.220189,1,1,1,1,1,1,1,1
580.72192,1,1,1,1,1,1,1,1
581.220529,1,1,1,1,1,1,1,1
581.720163,1,1,1,1,1,1,1,1
582.221022,1,1,1,1,1,1,1,1
582.720581,1,1,1,1,1,1,1,1
583.221141,1,1,1,1,1,1,1,1
583.721285,1,1,1,1,1,1,1,1
584.220613,1,1,1,1,1,1,1,1
584.721136,1,1,1,1,1,1,1,1
585.2209,1,1,1,1,1,1,1,1
585.720598,1,1,1,1,1,1,1,1
586.220459,1,1,1,1,1,1,1,1
586.720214,1,1,1,1,1,1,1,1
587.220172,1,1,1,1,1,1,1,1
587.721476,1,1,1,1,1,1,1,1
588.221487,1,1,1,1,1,1,1,1
588.721405,1,1,1,1,1,1,1,1
589.220981,1,1,1,1,1,1,1,1
589.720641,1,1,1,1,1,1,1,1
590.221265,1,1,1,1,1,1,1,1
590.720785,1,1,1,1,1,1,1,1
591.222711,1,1,1,1,1,1,1,1
591.721919,1,1,1,1,1,1,1,1
592.221571,1,1,1,1,1,1,1,1
592.720057,1,1,1,1,1,1,1,1
593.22151,1,1,1,1,1,1,1,1
593.72134,1,1,1,1,1,1,1,1
594.221726,1,1,1,1,1,1,1,1
594.720505,1,1,1,1,1,1,1,1
595.221261,1,1,1,1,1,1,1,1
595.720312,1,1,1,1,1,1,1,1
596.220296,1,1,1,1,1,1,1,1
596.722122,1,1,1,1,1,1,1,1
597.220193,1,1,1,1,1,1,1,1
597.721976,1,1,1,1,1,1,1,1
598.220537,1,1,1,1,1,1,1,1
598.720953,1,1,1,1,1,1,1,1
599.220287,1,1,1,1,1,1,1,1
599.720863,1,1,1,1,1,1,1,1
600.221044,1,1,1,1,1,1,1,1
600.721577,1,1,1,1,1,1,1,1
601.221974,1,1,1,1,1,1,1,1
601.719929,1,1,1,1,1,1,1,1
602.220488,1,1,1,1,1,1,1,1
602.721952,1,1,1,1,1,1,1,1
603.220989,1,1,1,1,1,1,1,1
603.721586,1,1,1,1,1,1,1,1
604.221716,1,1,1,1,1,1,1,1
604.720571,1,1,1,1,1,1,1,1
605.221974,1,1,1,1,1,1,1,1
605.72148,1,1,1,1,1,1,1,1
606.221296,1,1,1,1,1,1,1,1
606.721735,1,1,1,1,1,1,1,1
607.221257,1,1,1,1,1,1,1,1
607.721569,1,1,1,1,1,1,1,1
608.22033,1,1,1,1,1,1,1,1
608.720481,1,1,1,1,1,1,1,1
609.221019,1,1,1,1,1,1,1,1
609.721979,1,1,1,1,1,1,1,1
610.220266,1,1,1,1,1,1,1,1
610.720527,1,1,1,1,1,1,1,1
611.220551,1,1,1,1,1,1,1,1
611.721667,1,1,1,1,1,1,1,1
612.220286,1,1,1,1,1,1,1,1
612.721079,1,1,1,1,1,1,1,1
613.220741,1,1,1,1,1,1,1,1
613.720999,1,1,1,1,1,1,1,1
614.220983,1,1,1,1,1,1,1,1
614.721045,1,1,1,1,1,1,1,1
615.221609,1,1,1,1,1,1,1,1
615.720696,1,1,1,1,1,1,1,1
616.220545,1,1,1,1,1,1,1,1
616.720856,1,1,1,1,1,1,1,1
617.222222,1,1,1,1,1,1,1,1
617.720768,1,1,1,1,1,1,1,1
618.221412,1,1,1,1,1,1,1,1
618.720181,1,1,1,1,1,1,1,1
619.221157,1,1,1,1,1,1,1,1
619.720231,1,1,1,1,1,1,1,1
620.221136,1,1,1,1,1,1,1,1
620.721102,1,1,1,1,1,1,1,1
621.221328,1,1,1,1,1,1,1,1
621.721485,1,1,1,1,1,1,1,1
622.220662,1,1,1,1,1,1,1,1
622.720049,1,1,1,1,1,1,1,1
623.221034,1,1,1,1,1,1,1,1
623.720929,1,1,1,1,1,1,1,1
624.220246,1,1,1,1,1,1,1,1
624.720506,1,1,1,1,1,1,1,1
625.221288,1,1,1,1,1,1,1,1
625.720217,1,1,1,1,1,1,1,1
626.220093,1,1,1,1,1,1,1,1
626.720317,1,1,1,1,1,1,1,1
627.221301,1,1,1,1,1,1,1,1
627.720888,1,1,1,1,1,1,1,1
628.221117,1,1,1,1,1,1,1,1
628.720262,1,1,1,1,1,1,1,1
629.220814,1,1,1,1,1,1,1,1
629.720613,1,1,1,1,1,1,1,1
630.221233,1,1,1,1,1,1,1,1
630.72151,1,1,1,1,1,1,1,1
631.221433,1,1,1,1,1,1,1,1
631.720772,1,1,1,1,1,1,1,1
632.220737,1,1,1,1,1,1,1,1
632.721253,1,1,1,1,1,1,1,1
633.221111,1,1,1,1,1,1,1,1
633.721289,1,1,1,1,1,1,1,1
634.220736,1,1,1,1,1,1,1,1
634.72103,1,1,1,1,1,1,1,1
635.221057,1,1,1,1,1,1,1,1
635.721336,1,1,1,1,1,1,1,1
636.220988,1,1,1,1,1,1,1,1
636.720181,1,1,1,1,1,1,1,1
637.221413,1,1,1,1,1,1,1,1
637.72106,1,1,1,1,1,1,1,1
638.220608,1,1,1,1,1,1,1,1
638.720015,1,1,1,1,1,1,1,1
639.220762,1,1,1,1,1,1,1,1
639.720661,1,1,1,1,1,1,1,1
640.221127,1,1,1,1,1,1,1,1
640.720518,1,1,1,1,1,1,1,1
641.220735,1,1,1,1,1,1,1,1
641.722562,1,1,1,1,1,1,1,1
642.222049,1,1,1,1,1,1,1,1
642.72053,1,1,1,1,1,1,1,1
643.220594,1,1,1,1,1,1,1,1
643.720549,1,1,1,1,1,1,1,1
644.220651,1,1,1,1,1,1,1,1
644.720639,1,1,1,1,1,1,1,1
645.2211,1,1,1,1,1,1,1,1
645.383884,1,1,1,1,1,1,1,1
645.765744,1,1,1,1,1,1,1,1
646.075044,1,1,1,1,1,1,1,1
646.574902,1,1,1,1,1,1,1,1
647.073382,1,1,1,1,1,1,1,1
647.573415,1,1,1,1,1,1,1,1
648.073469,1,1,1,1,1,1,1,1
648.574856,1,1,1,1,1,1,1,1
